[2, Isabella, -29.9, 204.2, 176, radial and concentric fractures in center]
[5, Stanton, -23.2, 199.3, 107, ]
[8, Rosa Bonheur, 9.7, 288.8, 102.2, floor of inner ring darker than outer]
[11, Maria Celeste, 23.4, 140.4, 96.6, ]
[13, Greenaway, 22.9, 145.1, 92.3, ]
[18, Sanger, 33.8, 288.6, 83.8, ]
[23, Wheatley, 16.6, 268, 72.9, ]
[25, O'Keeffe, 24.5, 228.8, 72.4, ]
